"Sample_ID","n_seqs","NAME","ID","Source","Spiking_level","Treatment","Sampling_date","Sample_type","Species","Sample ID","Study ID","date sample was taken YYYY-MM-DD","Study Name","Sample Type","Date Received YYYY-MM-DD","Illumina Plate Number","GPrep Plate #:","Notebook Reference","pot_ID","type","treat","treat.rn","timepoint","species","species_tp","resp_norm_plant_height4","resp_norm_chlorophyll_content4_mean","resp_norm_leaf_number2","resp_norm_wet_shoot_weight","resp_norm_dry_shoot_weight","resp_norm_wet_root_weight","resp_norm_dry_root_weight","resp_norm_dry_total_weight","resp_norm_shoot_root_ratio","resp_norm_shoot_moisture","response_plant_height4","response_chlorophyll_content4_mean","response_leaf_number2","response_wet_shoot_weight","response_dry_shoot_weight","response_wet_root_weight","response_dry_root_weight","response_dry_total_weight","response_shoot_root_ratio","response_shoot_moisture"
"RD85",81136,"RD85",1385225,"BS","SL2","SL2-BS","2024-07-11","Soil","P","46-SL2-BS-P","RD85","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","46-SL2-BS-P","Soil","SL2-BS","BS-2","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD86",61446,"RD86",1385226,"BS","SL2","SL2-BS","2024-07-11","Soil","P","47-SL2-BS-P","RD86","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","47-SL2-BS-P","Soil","SL2-BS","BS-2","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD87",62190,"RD87",1385227,"BS","SL2","SL2-BS","2024-07-11","Soil","P","48-SL2-BS-P","RD87","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","48-SL2-BS-P","Soil","SL2-BS","BS-2","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD88",55680,"RD88",1385228,"C",NA,"C","2024-07-11","Soil","P","55-C-P","RD88","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","55-C-P","Soil","C","control-0","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD89",42981,"RD89",1385229,"C",NA,"C","2024-07-11","Soil","P","56-C-P","RD89","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","56-C-P","Soil","C","control-0","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD9",29652,"RD9",1385149,"BS","US","US-BS","2024-08-26","Soil","P","30-US-BS-P","RD9","2024-08-26","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","30-US-BS-P","Soil","US-BS","BS-0","TP2","P","P_TP2",0.209425818960082,-0.0680762826712733,0.00395251462835869,0.0626713653516532,-0.00169171373858423,-1.91739941251845,-0.37175975725373,-0.0950602553763552,0.345517833566531,0.0696343505951922,16.831672112204,0.685345407320824,9.00000000000002,1203.51622893714,132.83371409441,99.6561004198529,38.3934941325512,172.13206685824,3.45979747599447,8.05343794354575
"RD90",79159,"RD90",1385230,"C",NA,"C","2024-07-11","Soil","P","57-C-P","RD90","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","57-C-P","Soil","C","control-0","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD91",52343,"RD91",1385231,"RW","US","US-RW","2024-07-11","Soil","R","4-US-RW-R","RD91","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","4-US-RW-R","Soil","US-RW","RW-0","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD92",67706,"RD92",1385232,"RW","US","US-RW","2024-07-11","Soil","R","5-US-RW-R","RD92","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","5-US-RW-R","Soil","US-RW","RW-0","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD93",71871,"RD93",1385233,"RW","US","US-RW","2024-07-11","Soil","R","6-US-RW-R","RD93","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","6-US-RW-R","Soil","US-RW","RW-0","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD94",67008,"RD94",1385234,"RW","SL1","SL1-RW","2024-07-11","Soil","R","13-SL1-RW-R","RD94","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","13-SL1-RW-R","Soil","SL1-RW","RW-1","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD95",35429,"RD95",1385235,"RW","SL1","SL1-RW","2024-07-11","Soil","R","14-SL1-RW-R","RD95","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","14-SL1-RW-R","Soil","SL1-RW","RW-1","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD96",65460,"RD96",1385236,"RW","SL1","SL1-RW","2024-07-11","Soil","R","15-SL1-RW-R","RD96","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","15-SL1-RW-R","Soil","SL1-RW","RW-1","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD97",112983,"RD97",1385237,"RW","SL2","SL2-RW","2024-07-11","Soil","R","22-SL2-RW-R","RD97","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","22-SL2-RW-R","Soil","SL2-RW","RW-2","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD98",64912,"RD98",1385238,"RW","SL2","SL2-RW","2024-07-11","Soil","R","23-SL2-RW-R","RD98","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","23-SL2-RW-R","Soil","SL2-RW","RW-2","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD99",48263,"RD99",1385239,"RW","SL2","SL2-RW","2024-07-11","Soil","R","24-SL2-RW-R","RD99","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","24-SL2-RW-R","Soil","SL2-RW","RW-2","TP1","R","R_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
